date,tourists
1990-01-01,9099183
1990-02-01,10148103
1990-03-01,12328847
1990-04-01,15561859
1990-05-01,16066031
1990-06-01,25847071
1990-07-01,44166087
1990-08-01,59335755
1990-09-01,27726798
1990-10-01,14716207
1990-11-01,8234991
1990-12-01,8985107
1991-01-01,9389749
1991-02-01,9966264
1991-03-01,13645773
1991-04-01,13870285
1991-05-01,16985204
1991-06-01,26213406
1991-07-01,47193267
1991-08-01,61918307
1991-09-01,28583403
1991-10-01,14619104
1991-11-01,8412607
1991-12-01,9126489
1992-01-01,10093853
1992-02-01,11088835
1992-03-01,12473546
1992-04-01,14986544
1992-05-01,17537601
1992-06-01,27730429
1992-07-01,45827563
1992-08-01,60043795
1992-09-01,27827178
1992-10-01,13231752
1992-11-01,7635933
1992-12-01,8886439
1993-01-01,10279999
1993-02-01,10626851
1993-03-01,11565296
1993-04-01,14666058
1993-05-01,16506251
1993-06-01,26352657
1993-07-01,45921720
1993-08-01,60324620
1993-09-01,27319648
1993-10-01,13426041
1993-11-01,7729899
1993-12-01,8895218
1994-01-01,10909050
1994-02-01,10938551
1994-03-01,13263602
1994-04-01,15659617
1994-05-01,18958862
1994-06-01,28476318
1994-07-01,50356501
1994-08-01,64731286
1994-09-01,29718774
1994-10-01,14808311
1994-11-01,8091068
1994-12-01,8841019
1995-01-01,11104399
1995-02-01,11223011
1995-03-01,12818907
1995-04-01,17262741
1995-05-01,18613233
1995-06-01,32024826
1995-07-01,52216731
1995-08-01,66545058
1995-09-01,30543403
1995-10-01,15804993
1995-11-01,8591076
1995-12-01,9746414
1996-01-01,11367259
1996-02-01,12372293
1996-03-01,14597645
1996-04-01,17308261
1996-05-01,20924442
1996-06-01,32161784
1996-07-01,52711793
1996-08-01,65518335
1996-09-01,30164307
1996-10-01,15878758
1996-11-01,8989658
1996-12-01,9375771
1997-01-01,11279747
1997-02-01,12506649
1997-03-01,16370461
1997-04-01,15457565
1997-05-01,22536769
1997-06-01,30534754
1997-07-01,51732998
1997-08-01,66698341
1997-09-01,30924806
1997-10-01,15997469
1997-11-01,8529030
1997-12-01,9707734
1998-01-01,11829886
1998-02-01,12648914
1998-03-01,13698172
1998-04-01,17387874
1998-05-01,21699013
1998-06-01,33418494
1998-07-01,52951560
1998-08-01,68296107
1998-09-01,32393624
1998-10-01,16344959
1998-11-01,8912881
1998-12-01,9926903
1999-01-01,12269953
1999-02-01,12776263
1999-03-01,14496349
1999-04-01,17347806
1999-05-01,23897185
1999-06-01,34207904
1999-07-01,55857252
1999-08-01,68637863
1999-09-01,33756377
1999-10-01,17282561
1999-11-01,9486804
1999-12-01,9637070
2000-01-01,13397156
2000-02-01,13623066
2000-03-01,15620964
2000-04-01,20247518
2000-05-01,22729181
2000-06-01,40216406
2000-07-01,60311077
2000-08-01,74029468
2000-09-01,36841295
2000-10-01,18560922
2000-11-01,10728656
2000-12-01,12579434
2001-01-01,13841000
2001-02-01,14888000
2001-03-01,15850000
2001-04-01,21182000
2001-05-01,24823000
2001-06-01,42529000
2001-07-01,62345000
2001-08-01,76430000
2001-09-01,36735000
2001-10-01,18476000
2001-11-01,11033000
2001-12-01,12170000
2002-01-01,12046702
2002-02-01,13546619
2002-03-01,16984699
2002-04-01,17828695
2002-05-01,22861033
2002-06-01,35022723
2002-07-01,50550787
2002-08-01,65167038
2002-09-01,30849241
2002-10-01,17769141
2002-11-01,10552625
2002-12-01,11360203
2003-01-01,14155000
2003-02-01,14080762
2003-03-01,16073709
2003-04-01,20611753
2003-05-01,24811724
2003-06-01,43411826
2003-07-01,60557291
2003-08-01,74976522
2003-09-01,34101877
2003-10-01,18724640
2003-11-01,10325849
2003-12-01,12393551
2004-01-01,13916339
2004-02-01,15513218
2004-03-01,16583525
2004-04-01,20401828
2004-05-01,26513516
2004-06-01,40950461
2004-07-01,60010297
2004-08-01,73545821
2004-09-01,35792778
2004-10-01,19621531
2004-11-01,10892492
2004-12-01,11874421
2005-01-01,14464896
2005-02-01,14292232
2005-03-01,19039354
2005-04-01,18378614
2005-05-01,26892311
2005-06-01,40777516
2005-07-01,61483479
2005-08-01,74265617
2005-09-01,37068261
2005-10-01,20501835
2005-11-01,11443627
2005-12-01,13171188
2006-01-01,15249523
2006-02-01,15652879
2006-03-01,17713194
2006-04-01,22777527
2006-05-01,25971008
2006-06-01,44508682
2006-07-01,64438416
2006-08-01,75345988
2006-09-01,39090980
2006-10-01,20468670
2006-11-01,11805415
2006-12-01,13742496
2007-01-01,14728560
2007-02-01,15322707
2007-03-01,17972497
2007-04-01,23700127
2007-05-01,27019198
2007-06-01,45488849
2007-07-01,67212441
2007-08-01,78026589
2007-09-01,39444647
2007-10-01,21017557
2007-11-01,12577430
2007-12-01,14131149
2008-01-01,15077694
2008-02-01,16466154
2008-03-01,19890721
2008-04-01,19984630
2008-05-01,29491636
2008-06-01,42523738
2008-07-01,67470049
2008-08-01,77244984
2008-09-01,37482655
2008-10-01,20069644
2008-11-01,11387088
2008-12-01,13639712
2009-01-01,15187949
2009-02-01,15595853
2009-03-01,16841780
2009-04-01,21432247
2009-05-01,28100671
2009-06-01,43007919
2009-07-01,66679402
2009-08-01,79413676
2009-09-01,38866523
2009-10-01,20293743
2009-11-01,11280642
2009-12-01,14061972
2010-01-01,15171322
2010-02-01,15758869
2010-03-01,17959305
2010-04-01,21312419
2010-05-01,28168423
2010-06-01,42470549
2010-07-01,68673885
2010-08-01,79987329
2010-09-01,39408098
2010-10-01,21247484
2010-11-01,11772298
2010-12-01,13644602
2011-01-01,15872650
2011-02-01,15079241
2011-03-01,18435387
2011-04-01,23133848
2011-05-01,26060318
2011-06-01,47091725
2011-07-01,70515037
2011-08-01,81540325
2011-09-01,41328687
2011-10-01,22407252
2011-11-01,11791572
2011-12-01,13638690
2012-01-01,15708685
2012-02-01,15406926
2012-03-01,18009007
2012-04-01,23191731
2012-05-01,27279007
2012-06-01,44496843
2012-07-01,69088155
2012-08-01,79845672
2012-09-01,40580654
2012-10-01,21149301
2012-11-01,12202027
2012-12-01,13753475
2013-01-01,14703198
2013-02-01,15205999
2013-03-01,19097289
2013-04-01,19883279
2013-05-01,28948157
2013-06-01,42707293
2013-07-01,68500582
2013-08-01,79652337
2013-09-01,40286304
2013-10-01,21486508
2013-11-01,12299190
2013-12-01,14015479
2014-01-01,14986237
2014-02-01,14860473
2014-03-01,18136382
2014-04-01,23191724
2014-05-01,27114472
2014-06-01,45138351
2014-07-01,66151905
2014-08-01,79825379
2014-09-01,40499373
2014-10-01,21683900
2014-11-01,11848965
2014-12-01,14333645
2015-01-01,15242544
2015-02-01,15881532
2015-03-01,17788641
2015-04-01,22322215
2015-05-01,31413000
2015-06-01,44931140
2015-07-01,69884089
2015-08-01,82485084
2015-09-01,42898976
2015-10-01,23036182
2015-11-01,12413907
2015-12-01,14576760
2016-01-01,15743677
2016-02-01,17004048
2016-03-01,21144458
2016-04-01,21266784
2016-05-01,30994676
2016-06-01,45071352
2016-07-01,72084413
2016-08-01,83434333
2016-09-01,43811269
2016-10-01,24225497
2016-11-01,12838711
2016-12-01,15342895
2017-01-01,16478567
2017-02-01,16953449
2017-03-01,19205972
2017-04-01,27370713
2017-05-01,28977577
2017-06-01,51811764
2017-07-01,74573756
2017-08-01,84301529
2017-09-01,44882490
2017-10-01,25190173
2017-11-01,13988943
2017-12-01,16894222
2018-01-01,17288514
2018-02-01,18081125
2018-03-01,21826088
2018-04-01,26212933
2018-05-01,34192339
2018-06-01,50171699
2018-07-01,74393288
2018-08-01,83518122
2018-09-01,45709563
2018-10-01,25408745
2018-11-01,14783864
2018-12-01,17258657
2019-01-01,17451462
2019-02-01,18102339
2019-03-01,21432670
2019-04-01,28548438
2019-05-01,31059622
2019-06-01,54372738
2019-07-01,74677001
2019-08-01,84573606
2019-09-01,46402325
2019-10-01,27151590
2019-11-01,15308653
2019-12-01,17658827
2020-01-01,17991284
2020-02-01,17763905
2020-03-01,3863237
2020-04-01,1325236
2020-05-01,2288349
2020-06-01,11704846
2020-07-01,39957570
2020-08-01,64343840
2020-09-01,30526126
2020-10-01,11383735
2020-11-01,3771653
2020-12-01,3527304
2021-01-01,3523071
2021-02-01,4439497
2021-03-01,4247842
2021-04-01,4288406
2021-05-01,11333102
2021-06-01,30504121
2021-07-01,61842706
2021-08-01,79734403
2021-09-01,41575248
2021-10-01,22441211
2021-11-01,11723237
2021-12-01,13525298
2022-01-01,11981957
2022-02-01,13442993
2022-03-01,16002578
2022-04-01,24559355
2022-05-01,29179070
2022-06-01,53150195
2022-07-01,73949512
2022-08-01,82805286
2022-09-01,47061933
2022-10-01,27820865
2022-11-01,14536527
2022-12-01,17518261
2023-01-01,17839328
2023-02-01,17641342
2023-03-01,19190037
2023-04-01,28102114
2023-05-01,32657988
2023-06-01,52553645
2023-07-01,63987905
2023-08-01,84847333
2023-09-01,50360802
2023-10-01,30265176
2023-11-01,14550071
2023-12-01,19152121
2024-01-01,18371244
